[30 Junho 2020 at 08:16:30 BRT] - pro killed 1x
[30 Junho 2020 at 08:19:31 BRT] - pro killed 1x
[30 Junho 2020 at 08:22:22 BRT] - pro died to 1x
[30 Junho 2020 at 08:31:56 BRT] - pro died to 1x
[30 Junho 2020 at 08:36:48 BRT] - pro died to 1x
[30 Junho 2020 at 08:40:53 BRT] - pro died to 1x
[30 Junho 2020 at 08:48:55 BRT] - pro died to 1x
[30 Junho 2020 at 08:58:57 BRT] - pro died to 1x
[05 Julho 2020 at 07:47:00 BRT] - pro died to 1x
[05 Julho 2020 at 07:58:05 BRT] - pro died to 1x
[05 Julho 2020 at 08:05:54 BRT] - pro died to 1x
[05 Julho 2020 at 08:08:14 BRT] - pro died to 1x
[05 Julho 2020 at 08:10:08 BRT] - pro died to 1x
[05 Julho 2020 at 08:14:51 BRT] - pro died to 1x
[05 Julho 2020 at 08:19:05 BRT] - pro died to 1x
